PowerShell quicksort algoritmus
cisla od -999.9 do 999.9 pocet cisel = 100
puvodni  setridene
1   126.983736106234   -990.087668885564
2   -920.507937938165   -968.058627177942
3   -896.030797391911   -966.695193663703
4   814.908368547265   -935.500613700971
5   336.717692451187   -920.507937938165
6   705.873759142297   -911.654469569006
7   -968.058627177942   -910.387703258306
8   -658.092968694583   -899.886913285585
9   -303.400727909571   -896.034027826848
10   -69.5056679417405   -896.030797391911
11   350.84223142841   -848.141059617997
12   -457.816983655429   -800.919284342331
13   235.040438192589   -792.989380466421
14   215.196978949987   -742.710037168865
15   -720.337775019201   -720.337775019201
16   776.672692925377   -678.889522647294
17   -792.989380466421   -674.891246198114
18   805.909242856041   -673.604495703571
19   425.837147258752   -658.092968694583
20   -483.829644260802   -655.594413982283
21   289.255101241616   -644.314850794997
22   520.549113522214   -640.032083751043
23   -480.449623144674   -609.562714547786
24   357.283407662242   -601.904849797769
25   -601.904849797769   -567.673499891522
26   105.573879098647   -528.315135915864
27   882.091723932974   -486.146113817695
28   -896.034027826848   -483.829644260802
29   263.145058248492   -480.449623144674
30   -567.673499891522   -457.816983655429
31   -655.594413982283   -438.995032825179
32   801.397155905653   -378.804709553395
33   53.1269512075124   -369.709341299259
34   513.646393902109   -339.051189538441
35   -369.709341299259   -303.400727909571
36   -0.649091599206031   -272.574196828284
37   170.050748343463   -256.865141154809
38   -202.827408906225   -235.540389206
39   -966.695193663703   -202.827408906225
40   182.104870000857   -125.755437952585
41   -438.995032825179   -100.990567064327
42   -486.146113817695   -69.5056679417405
43   -609.562714547786   -25.0024885146426
44   -673.604495703571   -0.649091599206031
45   -235.540389206   15.285524607443
46   69.4486785623006   25.2771127334689
47   419.116356347509   53.1269512075124
48   247.998946604086   69.4486785623006
49   -910.387703258306   96.0521278883108
50   -256.865141154809   99.851269302215
51   -339.051189538441   105.573879098647
52   271.203346071534   126.983736106234
53   -272.574196828284   170.050748343463
54   231.398829138604   177.559675050089
55   921.216229189893   182.104870000857
56   -644.314850794997   195.863117326593
57   803.347891617496   215.196978949987
58   -25.0024885146426   231.398829138604
59   327.773081862774   235.040438192589
60   -678.889522647294   247.998946604086
61   -674.891246198114   255.001031199424
62   -742.710037168865   263.145058248492
63   96.0521278883108   269.212580530863
64   734.911398463981   271.203346071534
65   -100.990567064327   276.204120815221
66   -125.755437952585   289.255101241616
67   799.474274197675   327.773081862774
68   573.243605035797   336.717692451187
69   -911.654469569006   341.347687948704
70   984.841247920851   350.84223142841
71   675.75122262009   357.283407662242
72   -378.804709553395   419.116356347509
73   734.880523551805   425.837147258752
74   963.350766930566   513.646393902109
75   -990.087668885564   520.549113522214
76   615.129955230295   557.872039018372
77   177.559675050089   573.243605035797
78   276.204120815221   580.361488943576
79   882.204544242427   615.129955230295
80   255.001031199424   621.248138256812
81   341.347687948704   675.75122262009
82   695.6688887433   695.6688887433
83   621.248138256812   705.873759142297
84   15.285524607443   713.690260690353
85   25.2771127334689   734.880523551805
86   815.609007886662   734.911398463981
87   -800.919284342331   756.28902934547
88   269.212580530863   776.672692925377
89   -899.886913285585   789.017601219806
90   -528.315135915864   799.474274197675
91   713.690260690353   801.397155905653
92   580.361488943576   803.347891617496
93   789.017601219806   805.909242856041
94   -848.141059617997   814.908368547265
95   557.872039018372   815.609007886662
96   -935.500613700971   882.091723932974
97   195.863117326593   882.204544242427
98   756.28902934547   921.216229189893
99   99.851269302215   963.350766930566
100   -640.032083751043   984.841247920851
